file_name,relative_path,suffix,size_bytes,top_level_group,subgroup,role_guess
6294895f1093b3878b385812d65c3197.csv,Raw Sensing\unlock\6294895f1093b3878b385812d65c3197.csv,.csv,5558227,Raw Sensing,unlock,sensor
62caae288910745b5eb9dde5a9873179.csv,Raw Sensing\unlock\62caae288910745b5eb9dde5a9873179.csv,.csv,7814859,Raw Sensing,unlock,sensor
62e43e3420646eaa7ecb44636abda31a.csv,Raw Sensing\unlock\62e43e3420646eaa7ecb44636abda31a.csv,.csv,10754180,Raw Sensing,unlock,sensor
632503a1df16a201a0fc5a1b91d3b01c.csv,Raw Sensing\unlock\632503a1df16a201a0fc5a1b91d3b01c.csv,.csv,16233333,Raw Sensing,unlock,sensor
63e8142ef2fdd89aec0630ce6070831d.csv,Raw Sensing\unlock\63e8142ef2fdd89aec0630ce6070831d.csv,.csv,5867682,Raw Sensing,unlock,sensor
64f2d26b3835e5fa744c35f1709e9c39.csv,Raw Sensing\unlock\64f2d26b3835e5fa744c35f1709e9c39.csv,.csv,11599473,Raw Sensing,unlock,sensor
6683f5d8f1730b0fce6c1fd8b46ab76f.csv,Raw Sensing\unlock\6683f5d8f1730b0fce6c1fd8b46ab76f.csv,.csv,8589411,Raw Sensing,unlock,sensor
690d25f3b083e647278ed85c6bb033ae.csv,Raw Sensing\unlock\690d25f3b083e647278ed85c6bb033ae.csv,.csv,6440631,Raw Sensing,unlock,sensor
69d24b22972459bf83ab0c8eb24d13cc.csv,Raw Sensing\unlock\69d24b22972459bf83ab0c8eb24d13cc.csv,.csv,13810380,Raw Sensing,unlock,sensor
6b0083d00297f9c03e00b2cde889b666.csv,Raw Sensing\unlock\6b0083d00297f9c03e00b2cde889b666.csv,.csv,12481818,Raw Sensing,unlock,sensor
6b22ac2851e90cebdb6bcc50288e031c.csv,Raw Sensing\unlock\6b22ac2851e90cebdb6bcc50288e031c.csv,.csv,26805071,Raw Sensing,unlock,sensor
6b4ad83b4ee50566e899f3b6c0fb7864.csv,Raw Sensing\unlock\6b4ad83b4ee50566e899f3b6c0fb7864.csv,.csv,10868581,Raw Sensing,unlock,sensor
6c4cf48742a55153dd574133a73a6932.csv,Raw Sensing\unlock\6c4cf48742a55153dd574133a73a6932.csv,.csv,18414681,Raw Sensing,unlock,sensor
6ed487d275984c8c141d40ad10664f46.csv,Raw Sensing\unlock\6ed487d275984c8c141d40ad10664f46.csv,.csv,10746864,Raw Sensing,unlock,sensor
703c70ff9f0c7a8e24757d0270a2e932.csv,Raw Sensing\unlock\703c70ff9f0c7a8e24757d0270a2e932.csv,.csv,884483,Raw Sensing,unlock,sensor
713a6a94988cc13bf0bb50ad0cb0a015.csv,Raw Sensing\unlock\713a6a94988cc13bf0bb50ad0cb0a015.csv,.csv,13073470,Raw Sensing,unlock,sensor
