file_name,relative_path,column_name,dtype,null_count,null_pct,n_unique,sample_value_1
sensing.csv,Sensing\sensing.csv,loc_visit_num_hr_2,float64,58141,0.26909032004257977,6,1.0
sensing.csv,Sensing\sensing.csv,loc_visit_num_hr_20,float64,53896,0.24944345451600214,6,2.0
sensing.csv,Sensing\sensing.csv,loc_visit_num_hr_21,float64,53781,0.24891120727558835,6,1.0
sensing.csv,Sensing\sensing.csv,loc_visit_num_hr_22,float64,53835,0.24916113206673918,6,1.0
sensing.csv,Sensing\sensing.csv,loc_visit_num_hr_23,float64,54382,0.25169277763635944,6,1.0
sensing.csv,Sensing\sensing.csv,loc_visit_num_hr_3,float64,58763,0.27196908337768727,6,1.0
sensing.csv,Sensing\sensing.csv,loc_visit_num_hr_4,float64,59073,0.27340383680836783,5,1.0
sensing.csv,Sensing\sensing.csv,loc_visit_num_hr_5,float64,59325,0.27457015250040495,6,1.0
sensing.csv,Sensing\sensing.csv,loc_visit_num_hr_6,float64,58935,0.27276514011987135,6,1.0
sensing.csv,Sensing\sensing.csv,loc_visit_num_hr_7,float64,57689,0.26699835697591,6,1.0
sensing.csv,Sensing\sensing.csv,loc_visit_num_hr_8,float64,56182,0.26002360400805313,6,3.0
sensing.csv,Sensing\sensing.csv,loc_visit_num_hr_9,float64,55010,0.2545993103927059,7,1.0
